Python开发工程师,广州新华时代数据系统有限公司,上海,0.8-1万\/月,06-07,五险一金 补充医疗保险 通讯补贴 绩效奖金 年终奖金 定期体检 交通补贴 专业培训 员工旅游 弹性工作,民营公司,50-150人,计算机服务(系统、数据服务、维修),python
python后端开发工程师,苏州海加网络科技股份有限公司,苏州-工业园区,0.9-1.8万\/月,06-07,弹性工作 带薪年假 五险一金 交通补贴 餐饮补贴,民营公司,50-150人,计算机软件,python
Python开发工程师\/软件工程师,杭州研一智控科技有限公司,杭州-江干区,1.2-2万\/月,06-07,五险一金 员工旅游 定期体检 年终奖金 周末双休,民营公司,少于50人,计算机服务(系统、数据服务、维修),python
Python开发工程师,北京中软融通科技有限公司,北京,1-1.5万\/月,06-07,五险一金 通讯补贴 年终奖金 私产公用补贴,民营公司,150-500人,计算机软件,python
Python开发工程师,南京中创书局有限公司,南京-玄武区,0.8-1.2万\/月,06-07,,民营公司,少于50人,文字媒体\/出版,python
Python高级开发工程师,武汉小安科技有限公司,武汉-洪山区,1.2-2.4万\/月,06-07,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,民营公司,150-500人,电子技术\/半导体\/集成电路,python
Python工程师,北京医信天下数据技术有限公司,北京-朝阳区,1-2万\/月,06-07,五险一金 绩效奖金 年终奖金 带薪年假 周末双休 年底十三薪,民营公司,50-150人,互联网\/电子商务,python
Python-Senior,大连市中青职业发展协会,大连-高新园区,1.5-2万\/月,06-07,五险一金 商业保险 专业培训 定期体检,民营公司,少于50人,专业服务(咨询、人力资源、财会),python
软件开发工程师(Python\/QT),深圳市信润富联数字科技有限公司,深圳-南山区,1.5-2.5万\/月,06-07,,合资,50-150人,计算机软件,python
Python开发工程师,上海态特网络科技有限公司,上海-静安区,1.8-2.5万\/月,06-07,五险一金 补充医疗保险 补充公积金 绩效奖金 弹性工作 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,民营公司,50-150人,互联网\/电子商务,python
Python研发工程师（跨境电商）,万博时代（深圳）科技有限公司,深圳-龙华区,1.5-2万\/月,06-07,全勤奖 节日福利 带薪年假 五险一金 定期团建,民营公司,150-500人,互联网\/电子商务,python
Python开发工程师,上海清鹤科技股份有限公司,北京-昌平区,1-1.8万\/月,06-07,五险一金 弹性工作 绩效奖金 年终奖金 股票期权 交通补贴 餐饮补贴,合资,150-500人,计算机软件,python
Python开发工程师,马衡达信息技术（上海）有限公司,北京-朝阳区,1.5-2.5万\/月,06-07,,外资（非欧美）,1000-5000人,计算机软件,python
Python高级开发工程师,武汉海星通技术股份有限公司,武汉-江汉区,1-1.5万\/月,06-07,绩效奖金 年终奖金 交通补贴 五险 大小休 项目奖金 不限量茶歇 带薪年假,民营公司,50-150人,医疗\/护理\/卫生,python
Python工程师,深圳市凯默制造有限公司,惠州,1-1.3万\/月,06-07,定期体检 弹性工作 员工旅游 五险一金 包吃包住 带薪休假,民营公司,50-150人,贸易\/进出口,python
"后端工程师（Golang, Python,Java）",布法罗机器人科技（成都）有限公司,成都-双流区,0.7-1万\/月,06-07,五险一金 年终奖金 周末双休 绩效奖金,国企,50-150人,医疗设备\/器械,python
Python爬虫算法工程师,北京美百极致科技有限公司,武汉-洪山区,1.5-2万\/月,06-07,五险一金 年终奖金 周末双休 股票期权 弹性工作 每年多次调薪,合资,50-150人,互联网\/电子商务,python
Python软件工程师,北京裕兴软件有限公司,北京-西城区,2-2.5万\/月,06-07,,上市公司,150-500人,通信\/电信\/网络设备,python
GIS20108101-Python开发工程师,深圳博沃智慧科技有限公司,深圳-南山区,1.2-1.8万\/月,06-07,五险一金 员工旅游 定期体检 绩效奖金 年终奖金,民营公司,150-500人,计算机软件,python
Python 开发工程师,深圳市德卡科技股份有限公司,西安-高新技术产业开发区,0.5-1万\/月,06-07,五险一金 员工旅游 定期体检 节日福利 运动场地 部门活动 生日礼品 4.5天工作制 年终奖金,上市公司,150-500人,计算机软件,python
Python开发工程师,上海软中信息技术有限公司,上海-徐汇区,1.1-1.3万\/月,06-07,五险一金 绩效奖金 定期体检 年终奖金 员工旅游 餐饮补贴,国企,150-500人,计算机软件,python
python后端工程师,四川炜麒科技股份有限公司,成都-双流区,4.5-6千\/月,06-07,五险一金 餐饮补贴 年终奖金 股票期权 周末双休,民营公司,50-150人,电子技术\/半导体\/集成电路,python
Python爬虫工程师8000+,北京博瑞浩宇科技有限公司安徽分公司,合肥-蜀山区,1-1.5万\/月,06-07,,民营公司,50-150人,专业服务(咨询、人力资源、财会),python
Python后端开发工程师-中达电子,吴江经济技术开发区人力资源有限公司,苏州,15-20万\/年,06-07,,国企,500-1000人,政府\/公共事业,python
Python爬虫工程师（助理）,深圳研选信息技术有限公司,深圳-南山区,6-8千\/月,06-07,五险一金 补充医疗保险 弹性工作 定期体检 年终奖金 绩效奖金 通讯补贴,民营公司,50-150人,互联网\/电子商务,python
Python开发工程师,常州第六元素材料科技股份有限公司,无锡-惠山区,0.8-1.5万\/月,06-07,五险一金 补充医疗保险 员工旅游 绩效奖金 年终奖金 餐饮补贴 定期体检,民营公司,150-500人,原材料和加工,python
Python开发工程师,东莞市找大状互联网技术有限公司,东莞,1.5-2.5万\/月,06-07,,民营公司,,计算机软件,python
Python开发工程师,“前程无忧”51job.com（上海）,上海,""",""workarea"":""020000",06-07,五险一金 专业培训 定期体检 周末双休,外资（非欧美）,1000-5000人,互联网\/电子商务,python
Python开发工程师,北京宜通华瑞科技有限公司,武汉-江汉区,0.8-1.2万\/月,06-07,五险一金 年终奖金 专业培训 定期体检 弹性工作 交通补贴,民营公司,1000-5000人,通信\/电信运营、增值服务,python
Python开发工程师（合肥）,合肥文因互联科技有限公司,合肥,0.9-1.8万\/月,06-07,,民营公司,,互联网\/电子商务,python
Python高级开发工程师,苏州中惠盈科技有限公司,苏州-工业园区,1.3-2万\/月,06-07,,民营公司,少于50人,计算机软件,python
Python开发工程师,易宝软件（东莞）有限公司,深圳,2-2.5万\/月,06-07,,外资（非欧美）,,计算机软件,python
手游服务端开发-c\/python,北京时空立方数字科技有限公司,广州-天河区,1-1.5万\/月,06-07,,民营公司,150-500人,互联网\/电子商务,python
python开发工程师,杭州泛利科技有限公司,杭州,6-8千\/月,06-07,,外资（欧美）,,电子技术\/半导体\/集成电路,python
python开发工程师,浙江小果文化发展有限公司,嘉兴,6-8千\/月,06-07,,民营公司,,计算机软件,python
Python爬虫软件工程师,深圳市乐思软件技术有限公司,深圳-南山区,7-9千\/月,06-07,周末双休 五险一金 绩效奖金 节日福利 专业培训 高温补贴 出国机会 员工旅游 补充医疗保险 年终奖金,民营公司,少于50人,计算机软件,python
Python开发工程师,云迪互联科技（杭州）有限公司,杭州-西湖区,1-1.5万\/月,06-07,,民营公司,少于50人,互联网\/电子商务,python
Python爬虫工程师,郑州海纳电子商务有限公司,郑州,4.5-6千\/月,06-07,交通补贴 通讯补贴 定期体检 弹性工作 五险一金 补充医疗保险 部门完善,民营公司,500-1000人,互联网\/电子商务,python
Python开发工程师,上海轩田工业设备有限公司,上海-闵行区,1-1.5万\/月,06-07,五险一金 年终奖金 做五休二 带薪年假,民营公司,150-500人,机械\/设备\/重工,python
Python高级开发工程师,深圳市奥肯特科技有限公司,深圳-南山区,1-2万\/月,06-07,五险一金 绩效奖金 股票期权 员工旅游 年终奖金 弹性工作,民营公司,50-150人,互联网\/电子商务,python
